inputData,VenueId,VenueName,Numberid,CityId
1,M Chinnaswamy Stadium,1,,1,M Chinnaswamy Stadium,,1
2,Punjab Cricket Association Stadium, Mohali,2,2,Punjab Cricket Association Stadium,2, Mohali
3,Feroz Shah Kotla,3,,3,Feroz Shah Kotla,,3
4,Wankhede Stadium,4,,4,Wankhede Stadium,,4
5,Eden Gardens,5,,5,Eden Gardens,,5
6,Sawai Mansingh Stadium,6,,6,Sawai Mansingh Stadium,,6
7,Rajiv Gandhi International Stadium, Uppal,7,7,Rajiv Gandhi International Stadium,7, Uppal
8,MA Chidambaram Stadium, Chepauk,8,8,MA Chidambaram Stadium,8, Chepauk
9,Dr DY Patil Sports Academy,4,,9,Dr DY Patil Sports Academy,,4
10,Newlands,9,,10,Newlands,,9
11,St George's Park,10,,11,St George's Park,,10
12,Kingsmead,11,,12,Kingsmead,,11
13,SuperSport Park,12,,13,SuperSport Park,,12
14,Buffalo Park,13,,14,Buffalo Park,,13
15,New Wanderers Stadium,14,,15,New Wanderers Stadium,,14
16,De Beers Diamond Oval,15,,16,De Beers Diamond Oval,,15
17,OUTsurance Oval,16,,17,OUTsurance Oval,,16
18,Brabourne Stadium,4,,18,Brabourne Stadium,,4
19,Sardar Patel Stadium, Motera,17,19,Sardar Patel Stadium,17, Motera
20,Barabati Stadium,18,,20,Barabati Stadium,,18
21,Vidarbha Cricket Association Stadium, Jamtha,19,21,Vidarbha Cricket Association Stadium,19, Jamtha
22,Himachal Pradesh Cricket Association Stadium,20,,22,Himachal Pradesh Cricket Association Stadium,,20
23,Nehru Stadium,21,,23,Nehru Stadium,,21
24,Holkar Cricket Stadium,22,,24,Holkar Cricket Stadium,,22
25,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,23,,25,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,23
26,Subrata Roy Sahara Stadium,24,,26,Subrata Roy Sahara Stadium,,24
27,Shaheed Veer Narayan Singh International Stadium,25,,27,Shaheed Veer Narayan Singh International Stadium,,25
28,JSCA International Stadium Complex,26,,28,JSCA International Stadium Complex,,26
29,Sheikh Zayed Stadium,27,,29,Sheikh Zayed Stadium,,27
30,Sharjah Cricket Stadium,27,,30,Sharjah Cricket Stadium,,27
31,Dubai International Cricket Stadium,27,,31,Dubai International Cricket Stadium,,27
32,Maharashtra Cricket Association Stadium,24,,32,Maharashtra Cricket Association Stadium,,24
33,Punjab Cricket Association IS Bindra Stadium, Mohali,2,33,Punjab Cricket Association IS Bindra Stadium,2, Mohali
34,Saurashtra Cricket Association Stadium,28,,34,Saurashtra Cricket Association Stadium,,28
35,Green Park,29,,35,Green Park,,29
36,Green Park,28,,36,Green Park,,28
0,No venue,0,,0,No venue,,0
